"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C6,C7","3","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1,D2","2","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"F1","1","Fuse","","","","Resistor_SMD:R_0402_1005Metric","~"
"J1","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J2,J3","2","Conn_02x03_Counter_Clockwise","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~"
"L1","1","2.2uH","","","","Inductor_SMD:L_0402_1005Metric","~"
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R5","2","1K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4","1","100","","","","Resistor_SMD:R_0402_1005Metric","~"
"U1","1","TPS63001","","","","Package_SON:Texas_DRC0010J_ThermalVias","http://www.ti.com/lit/ds/symlink/tps63000.pdf"
"U2","1","USB C","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-17",""
